This file is created using RaceChrono Pro v8.0.8 ( http://racechrono.com/ ).
Format,2,"Format 1 = static columns","Format 2 = new format with dynamic columns; only channel header string is fixed, number of columns and channels' column numbers are variable."
Session title,"Porsche"
Session type,Lap timing
Track name,"Porsche"
Driver name,
Export scope,Session start
Created,15/09/2024,18:02
Note,

Time (s),Session fragment #,Lap #,Trap name,X-position (m),Y-position (m),Distance (m),Speed (m/s),Altitude (m),Bearing (deg),Device update rate (Hz),Elapsed time (s),Latitude (deg),Longitude (deg),Satellites (sats),Fix type,Coordinate precision (DOP),Altitude precision (DOP),Speed (m/s) *calc,Lateral acceleration (G) *calc,Longitudinal acceleration (G) *calc,Device update rate (Hz) *calc,Lean angle (deg) *calc,Combined acceleration (G) *calc,Speed (m/s) *obd,RPM (rpm) *obd,Intake temperature (.C) *obd,Air temperature (.C) *obd,Oxygen sensors *obd,ECU voltage (V) *obd,Accelerator position (%) *obd
1726425042.507,0,,,-0.000,-0.000,2808.208,0.000,90.800,224.100,10.0,1662.007,42.5735937,-71.6025715,18,2,0.69,0.90,0.000,0.000,0.000,20.0,0.000,0.000,0.000,835,61.0,50.0,3,14.37,14.5
1726425042.540,0,,,-0.000,-0.000,2808.208,0.000,90.800,224.100,10.0,1662.040,42.5735937,-71.6025715,18,2,0.66,0.90,0.000,0.000,0.000,20.0,0.000,0.000,0.000,834,61.0,50.0,3,14.37,14.5
1726425042.550,0,,,-0.000,-0.000,2808.208,0.000,90.800,224.100,10.0,1662.050,42.5735937,-71.6025715,19,2,0.65,0.90,0.000,0.000,0.000,20.0,0.000,0.000,0.000,834,61.0,50.0,3,14.37,14.5
1726425042.567,0,,,-0.000,-0.000,2808.208,0.000,90.800,224.100,10.0,1662.067,42.5735937,-71.6025715,19,2,0.63,0.90,0.000,0.000,0.000,20.0,0.000,0.000,0.000,834,61.0,50.0,3,14.37,14.5
1726425042.594,0,,,-0.000,-0.000,2808.208,0.000,90.800,224.100,10.0,1662.094,42.5735937,-71.6025715,19,2,0.61,0.90,0.000,0.000,0.000,20.0,0.000,0.000,0.000,833,61.0,50.0,3,14.37,14.5
1726425042.600,0,,,-0.000,-0.000,2808.208,0.000,90.800,224.100,10.0,1662.100,42.5735937,-71.6025715,19,2,0.60,0.90,0.000,0.000,0.000,20.0,0.000,0.000,0.000,833,61.0,50.0,3,14.37,14.5
1726425042.600,0,,,-0.000,-0.000,2808.208,0.000,90.800,224.100,10.0,1662.100,42.5735937,-71.6025715,19,2,0.60,0.90,0.000,0.000,0.000,20.0,0.000,0.000,0.000,833,61.0,50.0,3,14.37,14.5
1726425042.647,0,,,-0.000,-0.000,2808.208,0.000,90.800,224.100,10.0,1662.147,42.5735937,-71.6025715,19,2,0.60,0.90,0.000,0.000,0.000,20.0,0.000,0.000,0.000,832,61.0,50.0,3,14.37,14.5
1726425042.650,0,,,-0.000,-0.000,2808.208,0.000,90.800,224.100,10.0,1662.150,42.5735937,-71.6025715,19,2,0.60,0.90,0.000,0.000,0.000,20.0,0.000,0.000,0.000,832,61.0,50.0,3,14.37,14.5
1726425042.678,0,,,-0.000,-0.000,2808.208,0.000,90.800,224.100,10.0,1662.178,42.5735937,-71.6025715,19,2,0.60,0.90,0.000,0.000,0.000,20.0,0.000,0.000,0.000,831,61.0,50.0,3,14.37,14.5
